,temp final,patamar,alpha_100,cone_meio,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,index,curva,sinal,energia
1,1220.0,20.0,1.2,7.4,1.18,1.3,1.2,1.05,0.83,1.0,GE04,"[1160. 1161. 1162. 1163. 1164. 1166. 1167. 1168. 1169. 1170. 1172. 1173.
 1174. 1175. 1176. 1178. 1179. 1180. 1180. 1181. 1182. 1183. 1184. 1185.
 1186. 1187. 1188. 1189. 1190. 1191. 1192. 1193. 1194. 1195. 1196. 1197.
 1198. 1199. 1200. 1200. 1200. 1201. 1202. 1203. 1204. 1204. 1205. 1206.
 1207. 1208. 1209. 1209. 1210. 1211. 1212. 1213. 1214. 1214. 1215. 1216.
 1217. 1218. 1219. 1219. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.
 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.
 1220.]",110314.9
2,1220.0,20.0,1.2,7.4,1.54,1.3,1.07,0.87,0.77,2.0,GE05,"[1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170. 1171.
 1172. 1173. 1174. 1176. 1177. 1178. 1179. 1180. 1180. 1180. 1181. 1182.
 1183. 1184. 1185. 1186. 1186. 1187. 1188. 1189. 1190. 1191. 1192. 1193.
 1193. 1194. 1195. 1196. 1197. 1198. 1199. 1200. 1200. 1200. 1201. 1202.
 1203. 1203. 1204. 1205. 1206. 1206. 1207. 1208. 1209. 1210. 1210. 1211.
 1212. 1213. 1213. 1214. 1215. 1216. 1216. 1217. 1218. 1219. 1220. 1220.
 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.
 1220. 1220. 1220. 1220. 1220. 1220. 1220.]",113675.6
4,1236.0,0.0,2.5,7.5,1.67,1.25,1.03,0.83,0.71,4.0,GE07,"[1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170. 1171.
 1172. 1173. 1174. 1175. 1176. 1177. 1178. 1179. 1180. 1180. 1180. 1181.
 1182. 1183. 1184. 1184. 1185. 1186. 1187. 1188. 1189. 1189. 1190. 1191.
 1192. 1193. 1194. 1194. 1195. 1196. 1197. 1198. 1199. 1199. 1200. 1200.
 1200. 1201. 1202. 1202. 1203. 1204. 1204. 1205. 1206. 1207. 1207. 1208.
 1209. 1209. 1210. 1211. 1212. 1212. 1213. 1214. 1214. 1215. 1216. 1217.
 1217. 1218. 1219. 1219. 1220. 1221. 1222. 1222. 1223. 1224. 1224. 1225.
 1226. 1226. 1227. 1228. 1229. 1229. 1230. 1231. 1231. 1232. 1233. 1234.
 1234. 1235. 1236.]",144015.59999999998
5,1220.0,10.0,1.2,7.3,1.33,1.3,1.07,1.0,1.2,5.0,GE08,"[1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170. 1171.
 1172. 1173. 1174. 1176. 1177. 1178. 1179. 1180. 1180. 1181. 1182. 1183.
 1184. 1185. 1186. 1187. 1188. 1189. 1190. 1191. 1192. 1193. 1194. 1195.
 1196. 1197. 1198. 1199. 1200. 1200. 1201. 1202. 1203. 1204. 1206. 1207.
 1208. 1209. 1210. 1212. 1213. 1214. 1215. 1216. 1218. 1219. 1220. 1220.
 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.]",74283.6
6,1220.0,10.0,1.2,6.6,1.54,1.36,1.07,0.95,0.77,6.0,GE09,"[1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170. 1171.
 1172. 1173. 1174. 1176. 1177. 1178. 1179. 1180. 1180. 1180. 1181. 1182.
 1183. 1184. 1185. 1186. 1187. 1188. 1189. 1190. 1191. 1192. 1193. 1194.
 1195. 1196. 1197. 1198. 1199. 1199. 1200. 1200. 1200. 1201. 1202. 1203.
 1203. 1204. 1205. 1206. 1206. 1207. 1208. 1209. 1210. 1210. 1211. 1212.
 1213. 1213. 1214. 1215. 1216. 1216. 1217. 1218. 1219. 1220. 1220. 1220.
 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.]",89542.6
7,1220.0,10.0,1.2,7.1,1.54,1.36,1.0,0.77,0.57,7.0,GE10,"[1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170. 1171.
 1172. 1173. 1174. 1175. 1176. 1177. 1178. 1179. 1180. 1180. 1180. 1181.
 1182. 1183. 1183. 1184. 1185. 1186. 1186. 1187. 1188. 1189. 1190. 1190.
 1191. 1192. 1193. 1193. 1194. 1195. 1196. 1196. 1197. 1198. 1199. 1200.
 1200. 1200. 1201. 1201. 1202. 1202. 1203. 1203. 1204. 1205. 1205. 1206.
 1206. 1207. 1207. 1208. 1209. 1209. 1210. 1210. 1211. 1211. 1212. 1213.
 1213. 1214. 1214. 1215. 1215. 1216. 1217. 1217. 1218. 1218. 1219. 1219.
 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220. 1220.]",108319.4
12,1212.0,3.0,1.12,7.1,1.33,1.2,0.94,0.8,0.52,12.0,GE15,"[1160. 1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1168. 1169. 1170.
 1171. 1172. 1173. 1174. 1175. 1175. 1176. 1177. 1178. 1179. 1180. 1180.
 1180. 1181. 1182. 1183. 1183. 1184. 1185. 1186. 1187. 1187. 1188. 1189.
 1190. 1191. 1191. 1192. 1193. 1194. 1195. 1195. 1196. 1197. 1198. 1199.
 1200. 1200. 1200. 1201. 1201. 1202. 1202. 1203. 1203. 1204. 1204. 1205.
 1205. 1206. 1206. 1207. 1207. 1208. 1208. 1209. 1209. 1210. 1210. 1211.
 1211. 1212. 1212. 1212. 1212.]",63475.3
14,1212.0,3.0,1.12,7.2,1.25,1.2,0.81,0.67,0.57,14.0,GE17,"[1160. 1160. 1161. 1162. 1163. 1164. 1164. 1165. 1166. 1167. 1168. 1168.
 1169. 1170. 1171. 1172. 1172. 1173. 1174. 1175. 1176. 1177. 1177. 1178.
 1179. 1180. 1180. 1180. 1181. 1182. 1182. 1183. 1184. 1184. 1185. 1186.
 1186. 1187. 1188. 1188. 1189. 1190. 1190. 1191. 1192. 1192. 1193. 1194.
 1194. 1195. 1196. 1196. 1197. 1198. 1198. 1199. 1200. 1200. 1200. 1201.
 1201. 1202. 1202. 1203. 1203. 1204. 1205. 1205. 1206. 1206. 1207. 1207.
 1208. 1209. 1209. 1210. 1210. 1211. 1211. 1212. 1212. 1212. 1212.]",65243.69999999999
16,1212.0,4.0,1.12,7.2,1.33,1.11,0.88,0.74,0.67,16.0,GE19,"[1160. 1160. 1161. 1162. 1163. 1164. 1165. 1166. 1167. 1167. 1168. 1169.
 1170. 1171. 1172. 1173. 1174. 1174. 1175. 1176. 1177. 1178. 1179. 1180.
 1180. 1180. 1181. 1182. 1182. 1183. 1184. 1185. 1185. 1186. 1187. 1188.
 1188. 1189. 1190. 1191. 1191. 1192. 1193. 1194. 1194. 1195. 1196. 1197.
 1197. 1198. 1199. 1199. 1200. 1200. 1200. 1201. 1202. 1202. 1203. 1204.
 1204. 1205. 1206. 1206. 1207. 1208. 1208. 1209. 1210. 1210. 1211. 1212.
 1212. 1212. 1212. 1212.]",59820.899999999994
17,1208.0,1.0,1.12,7.1,1.33,1.07,0.86,0.69,0.57,17.0,GE20,"[1160. 1160. 1161. 1162. 1163. 1164. 1165. 1166. 1166. 1167. 1168. 1169.
 1170. 1171. 1172. 1172. 1173. 1174. 1175. 1176. 1177. 1178. 1178. 1179.
 1180. 1180. 1180. 1181. 1182. 1182. 1183. 1184. 1184. 1185. 1186. 1186.
 1187. 1188. 1188. 1189. 1190. 1191. 1191. 1192. 1193. 1193. 1194. 1195.
 1195. 1196. 1197. 1197. 1198. 1199. 1200. 1200. 1200. 1201. 1201. 1202.
 1202. 1203. 1203. 1204. 1205. 1205. 1206. 1206. 1207. 1207. 1208. 1208.]",49060.0
