,b,delta,H,MAPE
0,-10.0,1100,"[314184.0, 458110.0, 496775.0, 556515.0, 592820.0]",0.16131928329592576
1,-10.0,1101,"[307963.0, 447801.0, 484741.0, 542546.0, 576091.0]",0.15928909747696404
2,-10.0,1102,"[301808.0, 437614.0, 472859.0, 528759.0, 559604.0]",0.1572043306135152
3,-10.0,1103,"[295719.0, 427549.0, 461129.0, 515154.0, 543359.0]",0.15506284246804375
4,-10.0,1104,"[289696.0, 417606.0, 449551.0, 501731.0, 527356.0]",0.15286238414595094
5,-10.0,1105,"[283739.0, 407785.0, 438125.0, 488490.0, 511595.0]",0.15060059143536236
6,-10.0,1106,"[277848.0, 398086.0, 426851.0, 475431.0, 496076.0]",0.148274977679131
7,-10.0,1107,"[272023.0, 388509.0, 415729.0, 462554.0, 480799.0]",0.14588292614331255
8,-10.0,1108,"[266264.0, 379054.0, 404759.0, 449859.0, 465764.0]",0.14342168184361803
9,-10.0,1109,"[260571.0, 369721.0, 393941.0, 437346.0, 450971.0]",0.14088834278842383
10,-10.0,1110,"[254944.0, 360510.0, 383275.0, 425015.0, 436420.0]",0.13827985059381862
11,-10.0,1111,"[249383.0, 351421.0, 372761.0, 412866.0, 422111.0]",0.13559298042290419
12,-10.0,1112,"[243888.0, 342454.0, 362399.0, 400899.0, 408044.0]",0.13282433019814713
13,-10.0,1113,"[238459.0, 333609.0, 352189.0, 389114.0, 394219.0]",0.12997030903202758
14,-10.0,1114,"[233096.0, 324886.0, 342131.0, 377511.0, 380636.0]",0.12702712481757988
15,-10.0,1115,"[227799.0, 316285.0, 332225.0, 366090.0, 367295.0]",0.12399077091670843
16,-10.0,1116,"[222568.0, 307806.0, 322471.0, 354851.0, 354196.0]",0.12085701188046291
17,-10.0,1117,"[217403.0, 299449.0, 312869.0, 343794.0, 341339.0]",0.11762136813184638
18,-10.0,1118,"[212304.0, 291214.0, 303419.0, 332919.0, 328724.0]",0.11427909953832953
19,-10.0,1119,"[207271.0, 283101.0, 294121.0, 322226.0, 316351.0]",0.1108251877982109
20,-10.0,1120,"[202304.0, 275110.0, 284975.0, 311715.0, 304220.0]",0.10725431756248896
21,-10.0,1121,"[197403.0, 267241.0, 275981.0, 301386.0, 292331.0]",0.10411933372403773
22,-10.0,1122,"[192568.0, 259494.0, 267139.0, 291239.0, 280684.0]",0.10170487110455699
23,-10.0,1123,"[187799.0, 251869.0, 258449.0, 281274.0, 269279.0]",0.09920155044967846
24,-10.0,1124,"[183096.0, 244366.0, 249911.0, 271491.0, 258116.0]",0.09660474904306618
25,-10.0,1125,"[178459.0, 236985.0, 241525.0, 261890.0, 247195.0]",0.09390954449793923
26,-10.0,1126,"[173888.0, 229726.0, 233291.0, 252471.0, 236516.0]",0.09111069267745042
27,-10.0,1127,"[169383.0, 222589.0, 225209.0, 243234.0, 226079.0]",0.08820260397204224
28,-10.0,1128,"[164944.0, 215574.0, 217279.0, 234179.0, 215884.0]",0.08517931784780408
29,-10.0,1129,"[160571.0, 208681.0, 209501.0, 225306.0, 205931.0]",0.0820344755888672
30,-10.0,1130,"[156264.0, 201910.0, 201875.0, 216615.0, 196220.0]",0.07876129117140383
31,-10.0,1131,"[152023.0, 195261.0, 194401.0, 208106.0, 186751.0]",0.07654285659372458
32,-10.0,1132,"[147848.0, 188734.0, 187079.0, 199779.0, 177524.0]",0.07772474815863897
33,-10.0,1133,"[143739.0, 182329.0, 179909.0, 191634.0, 168539.0]",0.07892859204525775
34,-10.0,1134,"[139696.0, 176046.0, 172891.0, 183671.0, 159796.0]",0.08015382766494412
35,-10.0,1135,"[135719.0, 169885.0, 166025.0, 175890.0, 151295.0]",0.08139967501821453
36,-10.0,1136,"[131808.0, 163846.0, 159311.0, 168291.0, 143036.0]",0.08266509372406342
37,-10.0,1137,"[127963.0, 157929.0, 152749.0, 160874.0, 135019.0]",0.0839487348441325
38,-10.0,1138,"[124184.0, 152134.0, 146339.0, 153639.0, 127244.0]",0.08524888421411718
39,-10.0,1139,"[120471.0, 146461.0, 140081.0, 146586.0, 119711.0]",0.08656339576123925
40,-10.0,1140,"[116824.0, 140910.0, 133975.0, 139715.0, 112420.0]",0.08788961301184758
41,-10.0,1141,"[113243.0, 135481.0, 128021.0, 133026.0, 105371.0]",0.08922427667107759
42,-10.0,1142,"[109728.0, 130174.0, 122219.0, 126519.0, 98564.0]",0.09056341578054643
43,-10.0,1143,"[106279.0, 124989.0, 116569.0, 120194.0, 91999.0]",0.09190221952395408
44,-10.0,1144,"[102896.0, 119926.0, 111071.0, 114051.0, 85676.0]",0.09323488624864136
45,-10.0,1145,"[99579.0, 114985.0, 105725.0, 108090.0, 79595.0]",0.09455444569997677
46,-10.0,1146,"[96328.0, 110166.0, 100531.0, 102311.0, 73756.0]",0.09585254982487809
47,-10.0,1147,"[93143.0, 105469.0, 95489.0, 96714.0, 68159.0]",0.10299406938083636
48,-10.0,1148,"[90024.0, 100894.0, 90599.0, 91299.0, 62804.0]",0.1116569487167715
49,-10.0,1149,"[86971.0, 96441.0, 85861.0, 86066.0, 57691.0]",0.12064498946807736
50,-10.0,1150,"[83984.0, 92110.0, 81275.0, 81015.0, 52820.0]",0.1299618613306612
51,-10.0,1151,"[81063.0, 87901.0, 76841.0, 76146.0, 48191.0]",0.1396080423188939
52,-10.0,1152,"[78208.0, 83814.0, 72559.0, 71459.0, 43804.0]",0.14957981271652504
53,-10.0,1153,"[75419.0, 79849.0, 68429.0, 66954.0, 39659.0]",0.1598680027852623
54,-10.0,1154,"[72696.0, 76006.0, 64451.0, 62631.0, 35756.0]",0.17045644219040895
55,-10.0,1155,"[70039.0, 72285.0, 60625.0, 58490.0, 32095.0]",0.18279722280894203
56,-10.0,1156,"[67448.0, 68686.0, 56951.0, 54531.0, 28676.0]",0.19768795332474337
57,-10.0,1157,"[64923.0, 65209.0, 53429.0, 50754.0, 25499.0]",0.21301854403534834
58,-10.0,1158,"[62464.0, 61854.0, 50059.0, 47159.0, 22564.0]",0.22873412535845966
59,-10.0,1159,"[60071.0, 58621.0, 46841.0, 43746.0, 19871.0]",0.24475670957887843
60,-10.0,1160,"[57744.0, 55510.0, 43775.0, 40515.0, 17420.0]",0.260979512848663
61,-10.0,1161,"[55483.0, 52521.0, 40861.0, 37466.0, 15211.0]",0.27726032291036107
62,-10.0,1162,"[53288.0, 49654.0, 38099.0, 34599.0, 13244.0]",0.2934139471845153
63,-10.0,1163,"[51159.0, 46909.0, 35489.0, 31914.0, 11519.0]",0.3092039098254139
64,-10.0,1164,"[49096.0, 44286.0, 33031.0, 29411.0, 10036.0]",0.3260340045821778
65,-10.0,1165,"[47099.0, 41785.0, 30725.0, 27090.0, 8795.0]",0.3432466847595406
66,-10.0,1166,"[45168.0, 39406.0, 28571.0, 24951.0, 7796.0]",0.3594055876950072
67,-10.0,1167,"[43303.0, 37149.0, 26569.0, 22994.0, 7039.0]",0.37401899981029374
68,-10.0,1168,"[41504.0, 35014.0, 24719.0, 21219.0, 6524.0]",0.3865095363622267
69,-10.0,1169,"[39771.0, 33001.0, 23021.0, 19626.0, 6251.0]",0.39621928166351605
70,-10.0,1170,"[38104.0, 31110.0, 21475.0, 18215.0, 6220.0]",0.402425211076752
71,-10.0,1171,"[36503.0, 29341.0, 20081.0, 16986.0, 6431.0]",0.4043679464432698
72,-10.0,1172,"[34968.0, 27694.0, 18839.0, 15939.0, 6884.0]",0.4012959625781221
73,-10.0,1173,"[33499.0, 26169.0, 17749.0, 15074.0, 7579.0]",0.39252523233736386
74,-10.0,1174,"[32096.0, 24766.0, 16811.0, 14391.0, 8516.0]",0.377510871816111
75,-10.0,1175,"[30759.0, 23485.0, 16025.0, 13890.0, 9695.0]",0.3559230293860677
76,-10.0,1176,"[29488.0, 22326.0, 15391.0, 13571.0, 11116.0]",0.3277151438645366
77,-10.0,1177,"[28283.0, 21289.0, 14909.0, 13434.0, 12779.0]",0.2931704412640307
78,-10.0,1178,"[27144.0, 20374.0, 14579.0, 13479.0, 14684.0]",0.25291380456459117
79,-10.0,1179,"[26071.0, 19581.0, 14401.0, 13706.0, 16831.0]",0.20788166464289656
80,-10.0,1180,"[25064.0, 18910.0, 14375.0, 14115.0, 19220.0]",0.1785175166877536
81,-10.0,1181,"[24123.0, 18361.0, 14501.0, 14706.0, 21851.0]",0.1829595262021338
82,-10.0,1182,"[23248.0, 17934.0, 14779.0, 15479.0, 24724.0]",0.19771224158728842
83,-10.0,1183,"[22439.0, 17629.0, 15209.0, 16434.0, 27839.0]",0.2101054746358614
84,-10.0,1184,"[21696.0, 17446.0, 15791.0, 17571.0, 31196.0]",0.22009643201542914
85,-10.0,1185,"[21019.0, 17385.0, 16525.0, 18890.0, 34795.0]",0.24070930082678105
86,-10.0,1186,"[20408.0, 17446.0, 17411.0, 20391.0, 38636.0]",0.2760928148951808
87,-10.0,1187,"[19863.0, 17629.0, 18449.0, 22074.0, 42719.0]",0.3076548445342654
88,-10.0,1188,"[19384.0, 17934.0, 19639.0, 23939.0, 47044.0]",0.335407222135376
89,-10.0,1189,"[18971.0, 18361.0, 20981.0, 25986.0, 51611.0]",0.35948789640203077
90,-10.0,1190,"[18624.0, 18910.0, 22475.0, 28215.0, 56420.0]",0.38012223113298854
91,-10.0,1191,"[18343.0, 19581.0, 24121.0, 30626.0, 61471.0]",0.3975892358993655
92,-10.0,1192,"[18128.0, 20374.0, 25919.0, 33219.0, 66764.0]",0.4163086056300333
93,-10.0,1193,"[17979.0, 21289.0, 27869.0, 35994.0, 72299.0]",0.4346006954340763
94,-10.0,1194,"[17896.0, 22326.0, 29971.0, 38951.0, 78076.0]",0.4501548979809849
95,-10.0,1195,"[17879.0, 23485.0, 32225.0, 42090.0, 84095.0]",0.4632775035790443
96,-10.0,1196,"[17928.0, 24766.0, 34631.0, 45411.0, 90356.0]",0.47425712837647593
97,-10.0,1197,"[18043.0, 26169.0, 37189.0, 48914.0, 96859.0]",0.4833598915368835
98,-10.0,1198,"[18224.0, 27694.0, 39899.0, 52599.0, 103604.0]",0.4908272043632758
99,-10.0,1199,"[18471.0, 29341.0, 42761.0, 56466.0, 110591.0]",0.49687536389395637
100,-10.0,1200,"[18784.0, 31110.0, 45775.0, 60515.0, 117820.0]",0.5016963256010861
101,-10.0,1201,"[19163.0, 33001.0, 48941.0, 64746.0, 125291.0]",0.5054591917346174
102,-10.0,1202,"[19608.0, 35014.0, 52259.0, 69159.0, 133004.0]",0.5083120850105487
103,-10.0,1203,"[20119.0, 37149.0, 55729.0, 73754.0, 140959.0]",0.5103841811357602
104,-10.0,1204,"[20696.0, 39406.0, 59351.0, 78531.0, 149156.0]",0.5117877513395171
105,-10.0,1205,"[21339.0, 41785.0, 63125.0, 83490.0, 157595.0]",0.5126201222865294
106,-10.0,1206,"[22048.0, 44286.0, 67051.0, 88631.0, 166276.0]",0.5129655001905783
107,-10.0,1207,"[22823.0, 46909.0, 71129.0, 93954.0, 175199.0]",0.5128966327979045
108,-10.0,1208,"[23664.0, 49654.0, 75359.0, 99459.0, 184364.0]",0.5124763005780346
109,-10.0,1209,"[24571.0, 52521.0, 79741.0, 105146.0, 193771.0]",0.5117586396050466
110,-10.0,1210,"[25544.0, 55510.0, 84275.0, 111015.0, 203420.0]",0.5107903052334064
111,-10.0,1211,"[26583.0, 58621.0, 88961.0, 117066.0, 213311.0]",0.5096114892318182
112,-10.0,1212,"[27688.0, 61854.0, 93799.0, 123299.0, 223444.0]",0.5082568045819154
113,-10.0,1213,"[28859.0, 65209.0, 98789.0, 129714.0, 233819.0]",0.5067560524092812
114,-10.0,1214,"[30096.0, 68686.0, 103931.0, 136311.0, 244436.0]",0.5051348849964008
115,-10.0,1215,"[31399.0, 72285.0, 109225.0, 143090.0, 255295.0]",0.50341537787055
116,-10.0,1216,"[32768.0, 76006.0, 114671.0, 150051.0, 266396.0]",0.5016165227882204
117,-10.0,1217,"[34203.0, 79849.0, 120269.0, 157194.0, 277739.0]",0.4997546521948319
118,-10.0,1218,"[35704.0, 83814.0, 126019.0, 164519.0, 289324.0]",0.4978438045125683
119,-10.0,1219,"[37271.0, 87901.0, 131921.0, 172026.0, 301151.0]",0.4958960384515317
120,-10.0,1220,"[38904.0, 92110.0, 137975.0, 179715.0, 313220.0]",0.4939217034769873
121,-10.0,1221,"[40603.0, 96441.0, 144181.0, 187586.0, 325531.0]",0.4919296726095309
122,-10.0,1222,"[42368.0, 100894.0, 150539.0, 195639.0, 338084.0]",0.48992754288697365
123,-10.0,1223,"[44199.0, 105469.0, 157049.0, 203874.0, 350879.0]",0.4879218080722486
124,-10.0,1224,"[46096.0, 110166.0, 163711.0, 212291.0, 363916.0]",0.4859180075431275
