,b,delta,H,MAPE
0,-10.0,1239,"[47123584.0, 85675110.0, 105777775.0, 126132515.0, 165537820.0]",0.30013047810845456
1,-9.9,1239,"[47127543.2, 85682369.0, 105786778.5, 126143273.50000001, 165552033.0]",0.3001309016171591
2,-9.8,1239,"[47131502.4, 85689628.0, 105795781.99999999, 126154032.0, 165566246.0]",0.30013132505368423
3,-9.700000000000001,1239,"[47135461.6, 85696887.0, 105804785.50000001, 126164790.5, 165580459.0]",0.30013174841804824
4,-9.600000000000001,1239,"[47139420.8, 85704146.0, 105813789.0, 126175548.99999999, 165594672.0]",0.30013217171026996
5,-9.500000000000002,1239,"[47143380.0, 85711405.0, 105822792.5, 126186307.5, 165608885.0]",0.30013259493036754
6,-9.400000000000002,1239,"[47147339.2, 85718664.0, 105831796.0, 126197066.00000001, 165623098.0]",0.3001330180783594
7,-9.300000000000002,1239,"[47151298.4, 85725923.0, 105840799.49999999, 126207824.5, 165637311.0]",0.3001334411542641
8,-9.200000000000003,1239,"[47155257.6, 85733182.0, 105849803.00000001, 126218583.0, 165651524.0]",0.3001338641580999
9,-9.100000000000003,1239,"[47159216.8, 85740441.0, 105858806.5, 126229341.49999999, 165665737.0]",0.30013428708988543
10,-9.000000000000004,1239,"[47163176.0, 85747700.0, 105867810.0, 126240100.0, 165679950.0]",0.30013470994963887
11,-8.900000000000004,1239,"[47167135.2, 85754959.0, 105876813.5, 126250858.50000001, 165694163.0]",0.3001351327373788
12,-8.800000000000004,1239,"[47171094.4, 85762218.0, 105885816.99999999, 126261617.0, 165708376.0]",0.30013555545312365
13,-8.700000000000005,1239,"[47175053.6, 85769477.0, 105894820.50000001, 126272375.5, 165722589.0]",0.30013597809689146
14,-8.600000000000005,1239,"[47179012.8, 85776736.0, 105903824.0, 126283133.99999999, 165736802.0]",0.300136400668701
15,-8.500000000000005,1239,"[47182972.0, 85783995.0, 105912827.5, 126293892.5, 165751015.0]",0.3001368231685705
16,-8.400000000000006,1239,"[47186931.2, 85791254.0, 105921831.0, 126304651.00000001, 165765228.0]",0.3001372455965184
17,-8.300000000000006,1239,"[47190890.4, 85798513.0, 105930834.49999999, 126315409.5, 165779441.0]",0.3001376679525629
18,-8.200000000000006,1239,"[47194849.6, 85805772.0, 105939838.00000001, 126326168.0, 165793654.0]",0.30013809023672233
