,b,delta,H,MAPE
0,-10.0,1100,"[-48816.0, -212890.0, -339225.0, -444485.0, -738180.0]",0.5261579415966396
1,-10.0,1101,"[-55367.0, -223809.0, -352019.0, -459364.0, -756119.0]",0.5163995022413219
2,-10.0,1102,"[-61852.0, -234606.0, -364661.0, -474061.0, -773816.0]",0.5073647089883897
3,-10.0,1103,"[-68271.0, -245281.0, -377151.0, -488576.0, -791271.0]",0.4989743980107077
4,-10.0,1104,"[-74624.0, -255834.0, -389489.0, -502909.0, -808484.0]",0.49116051473411637
5,-10.0,1105,"[-80911.0, -266265.0, -401675.0, -517060.0, -825455.0]",0.48386423036426907
6,-10.0,1106,"[-87132.0, -276574.0, -413709.0, -531029.0, -842184.0]",0.4770344290132929
7,-10.0,1107,"[-93287.0, -286761.0, -425591.0, -544816.0, -858671.0]",0.4706264830525737
8,-10.0,1108,"[-99376.0, -296826.0, -437321.0, -558421.0, -874916.0]",0.4646012545988724
9,-10.0,1109,"[-105399.0, -306769.0, -448899.0, -571844.0, -890919.0]",0.45892427587215934
10,-10.0,1110,"[-111356.0, -316590.0, -460325.0, -585085.0, -906680.0]",0.4535650721249594
11,-10.0,1111,"[-117247.0, -326289.0, -471599.0, -598144.0, -922199.0]",0.44849659902491423
12,-10.0,1112,"[-123072.0, -335866.0, -482721.0, -611021.0, -937476.0]",0.44369477253633904
13,-10.0,1113,"[-128831.0, -345321.0, -493691.0, -623716.0, -952511.0]",0.4391380740309819
14,-10.0,1114,"[-134524.0, -354654.0, -504509.0, -636229.0, -967304.0]",0.43480721694735136
15,-10.0,1115,"[-140151.0, -363865.0, -515175.0, -648560.0, -981855.0]",0.43068486408922685
16,-10.0,1116,"[-145712.0, -372954.0, -525689.0, -660709.0, -996164.0]",0.42675538680925856
17,-10.0,1117,"[-151207.0, -381921.0, -536051.0, -672676.0, -1010231.0]",0.4230046590113826
18,-10.0,1118,"[-156636.0, -390766.0, -546261.0, -684461.0, -1024056.0]",0.4194198802361019
19,-10.0,1119,"[-161999.0, -399489.0, -556319.0, -696064.0, -1037639.0]",0.4159894231477358
20,-10.0,1120,"[-167296.0, -408090.0, -566225.0, -707485.0, -1050980.0]",0.4127027015843723
21,-10.0,1121,"[-172527.0, -416569.0, -575979.0, -718724.0, -1064079.0]",0.4095500560063883
22,-10.0,1122,"[-177692.0, -424926.0, -585581.0, -729781.0, -1076936.0]",0.40652265372384405
23,-10.0,1123,"[-182791.0, -433161.0, -595031.0, -740656.0, -1089551.0]",0.40361240172432494
24,-10.0,1124,"[-187824.0, -441274.0, -604329.0, -751349.0, -1101924.0]",0.40081187028217835
25,-10.0,1125,"[-192791.0, -449265.0, -613475.0, -761860.0, -1114055.0]",0.3981142258241081
26,-10.0,1126,"[-197692.0, -457134.0, -622469.0, -772189.0, -1125944.0]",0.39551317176771134
27,-10.0,1127,"[-202527.0, -464881.0, -631311.0, -782336.0, -1137591.0]",0.3930028962489196
28,-10.0,1128,"[-207296.0, -472506.0, -640001.0, -792301.0, -1148996.0]",0.39057802581950873
29,-10.0,1129,"[-211999.0, -480009.0, -648539.0, -802084.0, -1160159.0]",0.38823358433324556
30,-10.0,1130,"[-216636.0, -487390.0, -656925.0, -811685.0, -1171080.0]",0.3859649563539488
31,-10.0,1131,"[-221207.0, -494649.0, -665159.0, -821104.0, -1181759.0]",0.38376785451484957
32,-10.0,1132,"[-225712.0, -501786.0, -673241.0, -830341.0, -1192196.0]",0.38163829033942925
33,-10.0,1133,"[-230151.0, -508801.0, -681171.0, -839396.0, -1202391.0]",0.37957254810205926
34,-10.0,1134,"[-234524.0, -515694.0, -688949.0, -848269.0, -1212344.0]",0.3775671613644286
35,-10.0,1135,"[-238831.0, -522465.0, -696575.0, -856960.0, -1222055.0]",0.3756188918726812
36,-10.0,1136,"[-243072.0, -529114.0, -704049.0, -865469.0, -1231524.0]",0.3737247105418406
37,-10.0,1137,"[-247247.0, -535641.0, -711371.0, -873796.0, -1240751.0]",0.3718817802896582
38,-10.0,1138,"[-251356.0, -542046.0, -718541.0, -881941.0, -1249736.0]",0.37008744051245734
39,-10.0,1139,"[-255399.0, -548329.0, -725559.0, -889904.0, -1258479.0]",0.3683391930216686
40,-10.0,1140,"[-259376.0, -554490.0, -732425.0, -897685.0, -1266980.0]",0.36663468928222276
41,-10.0,1141,"[-263287.0, -560529.0, -739139.0, -905284.0, -1275239.0]",0.3649717188133602
42,-10.0,1142,"[-267132.0, -566446.0, -745701.0, -912701.0, -1283256.0]",0.3633481986291718
43,-10.0,1143,"[-270911.0, -572241.0, -752111.0, -919936.0, -1291031.0]",0.36176216361071195
44,-10.0,1144,"[-274624.0, -577914.0, -758369.0, -926989.0, -1298564.0]",0.3602117577141427
45,-10.0,1145,"[-278271.0, -583465.0, -764475.0, -933860.0, -1305855.0]",0.3586952259303463
46,-10.0,1146,"[-281852.0, -588894.0, -770429.0, -940549.0, -1312904.0]",0.3572109069210204
47,-10.0,1147,"[-285367.0, -594201.0, -776231.0, -947056.0, -1319711.0]",0.3557572262646441
48,-10.0,1148,"[-288816.0, -599386.0, -781881.0, -953381.0, -1326276.0]",0.35433269025302927
49,-10.0,1149,"[-292199.0, -604449.0, -787379.0, -959524.0, -1332599.0]",0.3529358801856067
50,-10.0,1150,"[-295516.0, -609390.0, -792725.0, -965485.0, -1338680.0]",0.3515654471142457
51,-10.0,1151,"[-298767.0, -614209.0, -797919.0, -971264.0, -1344519.0]",0.3502201069963876
52,-10.0,1152,"[-301952.0, -618906.0, -802961.0, -976861.0, -1350116.0]",0.34889863621865924
53,-10.0,1153,"[-305071.0, -623481.0, -807851.0, -982276.0, -1355471.0]",0.3475998674570156
54,-10.0,1154,"[-308124.0, -627934.0, -812589.0, -987509.0, -1360584.0]",0.3463226858428897
55,-10.0,1155,"[-311111.0, -632265.0, -817175.0, -992560.0, -1365455.0]",0.3450660254078725
56,-10.0,1156,"[-314032.0, -636474.0, -821609.0, -997429.0, -1370084.0]",0.3438288657821428
57,-10.0,1157,"[-316887.0, -640561.0, -825891.0, -1002116.0, -1374471.0]",0.34261022912426814
58,-10.0,1158,"[-319676.0, -644526.0, -830021.0, -1006621.0, -1378616.0]",0.3414091772621344
59,-10.0,1159,"[-322399.0, -648369.0, -833999.0, -1010944.0, -1382519.0]",0.3402248090266612
60,-10.0,1160,"[-325056.0, -652090.0, -837825.0, -1015085.0, -1386180.0]",0.3390562577616623
