,b,delta,H,MAPE
0,-20.0,1115,"[-536071.0, -1089765.0, -1415525.0, -1724410.0, -2403155.0]",0.3515155826688684
1,-20.0,1116,"[-541632.0, -1098854.0, -1426039.0, -1736559.0, -2417464.0]",0.3506115602306085
2,-20.0,1117,"[-547127.0, -1107821.0, -1436401.0, -1748526.0, -2431531.0]",0.3497245512078407
3,-20.0,1118,"[-552556.0, -1116666.0, -1446611.0, -1760311.0, -2445356.0]",0.3488539233763573
4,-20.0,1119,"[-557919.0, -1125389.0, -1456669.0, -1771914.0, -2458939.0]",0.34799907201766966
5,-20.0,1120,"[-563216.0, -1133990.0, -1466575.0, -1783335.0, -2472280.0]",0.34715941836774855
6,-20.0,1121,"[-568447.0, -1142469.0, -1476329.0, -1794574.0, -2485379.0]",0.34633440816756167
7,-20.0,1122,"[-573612.0, -1150826.0, -1485931.0, -1805631.0, -2498236.0]",0.34552351030763473
8,-20.0,1123,"[-578711.0, -1159061.0, -1495381.0, -1816506.0, -2510851.0]",0.34472621555953237
9,-20.0,1124,"[-583744.0, -1167174.0, -1504679.0, -1827199.0, -2523224.0]",0.3439420353877587
10,-20.0,1125,"[-588711.0, -1175165.0, -1513825.0, -1837710.0, -2535355.0]",0.34317050083612544
11,-20.0,1126,"[-593612.0, -1183034.0, -1522819.0, -1848039.0, -2547244.0]",0.3424111614831311
12,-20.0,1127,"[-598447.0, -1190781.0, -1531661.0, -1858186.0, -2558891.0]",0.34166358446134293
13,-20.0,1128,"[-603216.0, -1198406.0, -1540351.0, -1868151.0, -2570296.0]",0.3409273535361844
14,-20.0,1129,"[-607919.0, -1205909.0, -1548889.0, -1877934.0, -2581459.0]",0.34020206823989946
15,-20.0,1130,"[-612556.0, -1213290.0, -1557275.0, -1887535.0, -2592380.0]",0.33948734305680406
16,-20.0,1131,"[-617127.0, -1220549.0, -1565509.0, -1896954.0, -2603059.0]",0.3387828066562421
17,-20.0,1132,"[-621632.0, -1227686.0, -1573591.0, -1906191.0, -2613496.0]",0.3380881011699449
18,-20.0,1133,"[-626071.0, -1234701.0, -1581521.0, -1915246.0, -2623691.0]",0.33740288151074455
19,-20.0,1134,"[-630444.0, -1241594.0, -1589299.0, -1924119.0, -2633644.0]",0.33672681472983246
20,-20.0,1135,"[-634751.0, -1248365.0, -1596925.0, -1932810.0, -2643355.0]",0.33605957940996045
21,-20.0,1136,"[-638992.0, -1255014.0, -1604399.0, -1941319.0, -2652824.0]",0.3354008650921811
22,-20.0,1137,"[-643167.0, -1261541.0, -1611721.0, -1949646.0, -2662051.0]",0.33475037173390276
23,-20.0,1138,"[-647276.0, -1267946.0, -1618891.0, -1957791.0, -2671036.0]",0.3341078091961965
24,-20.0,1139,"[-651319.0, -1274229.0, -1625909.0, -1965754.0, -2679779.0]",0.33347289675844427
25,-20.0,1140,"[-655296.0, -1280390.0, -1632775.0, -1973535.0, -2688280.0]",0.33284536265855486
26,-20.0,1141,"[-659207.0, -1286429.0, -1639489.0, -1981134.0, -2696539.0]",0.3322249436571002
27,-20.0,1142,"[-663052.0, -1292346.0, -1646051.0, -1988551.0, -2704556.0]",0.3316113846238424
28,-20.0,1143,"[-666831.0, -1298141.0, -1652461.0, -1995786.0, -2712331.0]",0.3310044381452276
29,-20.0,1144,"[-670544.0, -1303814.0, -1658719.0, -2002839.0, -2719864.0]",0.33040386415152145
30,-20.0,1145,"[-674191.0, -1309365.0, -1664825.0, -2009710.0, -2727155.0]",0.3298094295623527
31,-20.0,1146,"[-677772.0, -1314794.0, -1670779.0, -2016399.0, -2734204.0]",0.3292209079495143
32,-20.0,1147,"[-681287.0, -1320101.0, -1676581.0, -2022906.0, -2741011.0]",0.3286380792159477
33,-20.0,1148,"[-684736.0, -1325286.0, -1682231.0, -2029231.0, -2747576.0]",0.3280607292899094
34,-20.0,1149,"[-688119.0, -1330349.0, -1687729.0, -2035374.0, -2753899.0]",0.32748864983338183
35,-20.0,1150,"[-691436.0, -1335290.0, -1693075.0, -2041335.0, -2759980.0]",0.32692163796385354
36,-20.0,1151,"[-694687.0, -1340109.0, -1698269.0, -2047114.0, -2765819.0]",0.3263594959886487
37,-20.0,1152,"[-697872.0, -1344806.0, -1703311.0, -2052711.0, -2771416.0]",0.32580203115103695
38,-20.0,1153,"[-700991.0, -1349381.0, -1708201.0, -2058126.0, -2776771.0]",0.3252490553874046
39,-20.0,1154,"[-704044.0, -1353834.0, -1712939.0, -2063359.0, -2781884.0]",0.3247003850948113
40,-20.0,1155,"[-707031.0, -1358165.0, -1717525.0, -2068410.0, -2786755.0]",0.32415584090829636
41,-20.0,1156,"[-709952.0, -1362374.0, -1721959.0, -2073279.0, -2791384.0]",0.3236152474873391
42,-20.0,1157,"[-712807.0, -1366461.0, -1726241.0, -2077966.0, -2795771.0]",0.323078433310912
43,-20.0,1158,"[-715596.0, -1370426.0, -1730371.0, -2082471.0, -2799916.0]",0.32254523048059613
44,-20.0,1159,"[-718319.0, -1374269.0, -1734349.0, -2086794.0, -2803819.0]",0.32201547453126167
45,-20.0,1160,"[-720976.0, -1377990.0, -1738175.0, -2090935.0, -2807480.0]",0.32148900424884236
46,-20.0,1161,"[-723567.0, -1381589.0, -1741849.0, -2094894.0, -2810899.0]",0.3209656614947586
47,-20.0,1162,"[-726092.0, -1385066.0, -1745371.0, -2098671.0, -2814076.0]",0.32044529103656905
48,-20.0,1163,"[-728551.0, -1388421.0, -1748741.0, -2102266.0, -2817011.0]",0.3199277403844512
49,-20.0,1164,"[-730944.0, -1391654.0, -1751959.0, -2105679.0, -2819704.0]",0.31941285963313387
50,-20.0,1165,"[-733271.0, -1394765.0, -1755025.0, -2108910.0, -2822155.0]",0.31890050130892156
51,-20.0,1166,"[-735532.0, -1397754.0, -1757939.0, -2111959.0, -2824364.0]",0.3183905202214703
52,-20.0,1167,"[-737727.0, -1400621.0, -1760701.0, -2114826.0, -2826331.0]",0.3178827733199882
53,-20.0,1168,"[-739856.0, -1403366.0, -1763311.0, -2117511.0, -2828056.0]",0.31737711955355224
54,-20.0,1169,"[-741919.0, -1405989.0, -1765769.0, -2120014.0, -2829539.0]",0.3168734197352433
55,-20.0,1170,"[-743916.0, -1408490.0, -1768075.0, -2122335.0, -2830780.0]",0.3163715364098163
56,-20.0,1171,"[-745847.0, -1410869.0, -1770229.0, -2124474.0, -2831779.0]",0.31587133372463383
57,-20.0,1172,"[-747712.0, -1413126.0, -1772231.0, -2126431.0, -2832536.0]",0.31537267730360063
58,-20.0,1173,"[-749511.0, -1415261.0, -1774081.0, -2128206.0, -2833051.0]",0.3148754341238479
59,-20.0,1174,"[-751244.0, -1417274.0, -1775779.0, -2129799.0, -2833324.0]",0.3143794723949247
60,-20.0,1175,"[-752911.0, -1419165.0, -1777325.0, -2131210.0, -2833355.0]",0.3138846614402612
61,-20.0,1176,"[-754512.0, -1420934.0, -1778719.0, -2132439.0, -2833144.0]",0.3133908715806769
62,-20.0,1177,"[-756047.0, -1422581.0, -1779961.0, -2133486.0, -2832691.0]",0.312897974019711
63,-20.0,1178,"[-757516.0, -1424106.0, -1781051.0, -2134351.0, -2831996.0]",0.3124058407305617
64,-20.0,1179,"[-758919.0, -1425509.0, -1781989.0, -2135034.0, -2831059.0]",0.31191434434442283
65,-19.5,1115,"[-516275.0, -1053470.0, -1370507.5, -1670617.5, -2332090.0]",0.35302623088711443
66,-19.5,1116,"[-521836.0, -1062559.0, -1381021.5, -1682766.5, -2346399.0]",0.3520818542123032
67,-19.5,1117,"[-527331.0, -1071526.0, -1391383.5, -1694733.5, -2360466.0]",0.351155783031294
68,-19.5,1118,"[-532760.0, -1080371.0, -1401593.5, -1706518.5, -2374291.0]",0.3502473245847318
69,-19.5,1119,"[-538123.0, -1089094.0, -1411651.5, -1718121.5, -2387874.0]",0.34935581698965856
70,-19.5,1120,"[-543420.0, -1097695.0, -1421557.5, -1729542.5, -2401215.0]",0.3484806274614474
71,-19.5,1121,"[-548651.0, -1106174.0, -1431311.5, -1740781.5, -2414314.0]",0.3476211506550267
72,-19.5,1122,"[-553816.0, -1114531.0, -1440913.5, -1751838.5, -2427171.0]",0.346776807116092
73,-19.5,1123,"[-558915.0, -1122766.0, -1450363.5, -1762713.5, -2439786.0]",0.3459470418338209
74,-19.5,1124,"[-563948.0, -1130879.0, -1459661.5, -1773406.5, -2452159.0]",0.3451313228873393
75,-19.5,1125,"[-568915.0, -1138870.0, -1468807.5, -1783917.5, -2464290.0]",0.34432914017886007
76,-19.5,1126,"[-573816.0, -1146739.0, -1477801.5, -1794246.5, -2476179.0]",0.3435400042470111
77,-19.5,1127,"[-578651.0, -1154486.0, -1486643.5, -1804393.5, -2487826.0]",0.3427634451544196
